Fecha,Aeronave,Aerolínea,Víctimas,País/Océano,Lugar
1953-06-18 00:00:00.000,Douglas C-124A-DL Globemaster,USAF,129,Japón,"Cerca de la Base Aérea de Tachikawa, Tokio"
1956-06-30 00:00:00.000,Douglas DC-7,United Airlines,128,Estados Unidos,"Gran Cañón, Arizona"
0,Lockheed L-1049-54-80 Super Constellation,TWA,se desconoce,se desconoce,se desconoce
1960-12-16 00:00:00.000,Douglas DC-8-11,United Airlines,134,Estados Unidos,"Miller Field (Staten Island), Nueva York"
0,Lockheed L-1049 Super Constellation,TWA,se desconoce,se desconoce,se desconoce
1962-03-04 00:00:00.000,Douglas DC-7C,Caledonian Airways,111,Camerún,Cerca del Aeropuerto Internacional de Douala
1962-03-16 00:00:00.000,Lockheed L-1049H Super Constellation,Flying Tiger Line,107,Océano Pacífico,Mar de Filipinas
1962-06-03 00:00:00.000,Boeing 707-328,Air France,130,Francia,"Aeropuerto de Orly, París"
1962-06-22 00:00:00.000,Boeing 707-328,Air France,113,Francia,"Cerca de Pointe-à-Pitre, Guadalupe"
1963-02-01 00:00:00.000,Vickers 754D Viscount,Middle East Airlines,104,Turquía,Ankara
0,Douglas C-47,Fuerza Aérea Turca,se desconoce,se desconoce,se desconoce
1963-06-03 00:00:00.000,Douglas DC-7CF,Northwest Orient Airlines,101,Océano Pacífico,"Cerca de la Isla Annette, Alaska (Estados Unidos)"
1963-11-29 00:00:00.000,DC-8-54F,Trans-Canada Airlines,118,Canadá,"Sainte-Thérèse-de-Blainville, Quebec"
1965-05-20 00:00:00.000,Boeing 720-040B,Pakistan International Airlines,121,República Árabe Unida,"Cerca del Aeropuerto Internacional de El Cairo, Egipto"
1966-01-24 00:00:00.000,Boeing 707-437,Air India,117,Francia,"Mont Blanc, Ródano-Alpes"
1966-02-04 00:00:00.000,Boeing 727-81,All Nippon Airways,133,Japón,Bahía de Tokio
1966-03-05 00:00:00.000,Boeing 707-436,BOAC,124,Japón,Monte Fuji
1966-12-24 00:00:00.000,Canadair CL-44D4-1,Flying Tiger Line,111,Vietnam del Sur,Cerca del Aeropuerto Internacional de Da Nang
1967-04-20 00:00:00.000,Bristol 175 Britannia 313,Globe Air,126,Chipre,Cerca del Aeropuerto de Nicosia
1967-11-16 00:00:00.000,Ilyushin 18V,Aeroflot,107,Unión Soviética,"Cerca del Aeropuerto de Koltsovo, Sverdlovsk (Rusia)"
1968-04-20 00:00:00.000,Boeing 707-344C,South African Airways,123,África del Sudoeste,"Cerca del Aeropuerto Internacional Strijdom, Windhoek (Namibia)"
1968-05-12 00:00:00.000,Lockheed C-130B Hercules,USAF,155,Vietnam del Sur,Kham Duc
1969-03-16 00:00:00.000,Douglas DC-9-32,"Avensa, operado por VIASA",155,Venezuela,Maracaibo
1969-03-20 00:00:00.000,Ilyushin 18D,United Arab Airlines,100,República Árabe Unida,"Aeropuerto Internacional de Asuán, Egipto"
1969-06-23 00:00:00.000,Ilyushin 14,Aeroflot,120,Unión Soviética,"Cerca de Yukhnov, Rusia"
0,Antonov 12,Fuerza Aérea Soviética,se desconoce,se desconoce,se desconoce
