fecha,tipo_avión,registro,Operador,numero_total_fallecidos,lugar_accidente
1902-09-23 00:00:00.000,Wright glider,-,Private,0,"Kitty Hawk, NC"
1910-04-14 00:00:00.000,Parseval PL 3,se desconoce,se desconoce,0,Plauer See
1910-04-21 00:00:00.000,Blériot XI,se desconoce,Clément van Maasdijk,0,"Pau, Basses-Pyrénées"
1910-04-25 00:00:00.000,Zeppelin LZ.5,Z-II,Heer,0,Weilburg an der Lahn (Hessen)
1910-05-24 00:00:00.000,Blackburn First Monoplane,Unknown,Blackburn Aircraft,0,"Near Saltburn-by-the-Sea, North Yorkshire"
1910-06-04 00:00:00.000,Wright Biplane,se desconoce,Imperial Russian Army,0,"Gatchina, St. Petersburg"
1910-06-28 00:00:00.000,Zeppelin LZ.7,-,DELAG,0,Osnabrück; nr
1910-07-10 00:00:00.000,Farman Biplane,se desconoce,private (D. Kinet),0,"Ghent, East Flanders"
1910-08-20 00:00:00.000,Lohner Type Simon I,se desconoce,Rudolf Simon,0,Zagreb (Agram)
1910-08-20 00:00:00.000,Farman Biplane,se desconoce,Ferdinand de Baeder,0,Douai
1910-09-08 00:00:00.000,Farman Biplane (?),se desconoce,Private,0,near Tula
1910-09-08 00:00:00.000,Warchalowski Type I,se desconoce,Karlof Warchalowski,0,Wiener Neustadt
1910-09-14 00:00:00.000,Zeppelin LZ.6,-,DELAG,0,Baden-Oos
1910-09-21 00:00:00.000,Lohner-Simon,se desconoce,Rudolf Simon,0,"Banjica, city of Belgrade"
1910-09-24 00:00:00.000,Bleriot Monoplane,se desconoce,Aleksandr Kuzminski,0,St. Petersburg
1910-10-01 00:00:00.000,Antoinette IV,se desconoce,Rene Thomas,0,Milan
1910-10-01 00:00:00.000,Farman III,se desconoce,Captain Bertram Dickson FRGS RHA,0,Milan
1910-10-16 00:00:00.000,Bleriot Monoplane,se desconoce,Ernest Archer,0,"Twello, Gelderland"
1910-10-29 00:00:00.000,Wright Model R Baby Grand,-,Walter Brookins,0,Belmont Park racetrack in New York
1910-10-29 00:00:00.000,Blériot XI,-,Blériot French Team,0,"Belmont Park racetrack, New York"
1910-12-16 00:00:00.000,Coandă-1910,se desconoce,Henri Coanda,0,Issy-les-Moulineaux
0,Lohner Type Bussard,se desconoce,Private,0,unk.
1910-04-14 00:00:00.000,Parseval PL 3,se desconoce,se desconoce,0,Plauer See
1910-04-21 00:00:00.000,Blériot XI,se desconoce,Clément van Maasdijk,0,"Pau, Basses-Pyrénées"
1910-04-25 00:00:00.000,Zeppelin LZ.5,Z-II,Heer,0,Weilburg an der Lahn (Hessen)
1910-05-24 00:00:00.000,Blackburn First Monoplane,Unknown,Blackburn Aircraft,0,"Near Saltburn-by-the-Sea, North Yorkshire"
1910-06-04 00:00:00.000,Wright Biplane,se desconoce,Imperial Russian Army,0,"Gatchina, St. Petersburg"
1910-06-28 00:00:00.000,Zeppelin LZ.7,-,DELAG,0,Osnabrück; nr
1910-07-10 00:00:00.000,Farman Biplane,se desconoce,private (D. Kinet),0,"Ghent, East Flanders"
1910-08-20 00:00:00.000,Lohner Type Simon I,se desconoce,Rudolf Simon,0,Zagreb (Agram)
1910-08-20 00:00:00.000,Farman Biplane,se desconoce,Ferdinand de Baeder,0,Douai
1910-09-08 00:00:00.000,Farman Biplane (?),se desconoce,Private,0,near Tula
1910-09-08 00:00:00.000,Warchalowski Type I,se desconoce,Karlof Warchalowski,0,Wiener Neustadt
1910-09-14 00:00:00.000,Zeppelin LZ.6,-,DELAG,0,Baden-Oos
1910-09-21 00:00:00.000,Lohner-Simon,se desconoce,Rudolf Simon,0,"Banjica, city of Belgrade"
1910-09-24 00:00:00.000,Bleriot Monoplane,se desconoce,Aleksandr Kuzminski,0,St. Petersburg
1910-10-01 00:00:00.000,Antoinette IV,se desconoce,Rene Thomas,0,Milan
1910-10-01 00:00:00.000,Farman III,se desconoce,Captain Bertram Dickson FRGS RHA,0,Milan
1910-10-16 00:00:00.000,Bleriot Monoplane,se desconoce,Ernest Archer,0,"Twello, Gelderland"
1910-10-29 00:00:00.000,Wright Model R Baby Grand,-,Walter Brookins,0,Belmont Park racetrack in New York
1910-10-29 00:00:00.000,Blériot XI,-,Blériot French Team,0,"Belmont Park racetrack, New York"
1910-12-16 00:00:00.000,Coandă-1910,se desconoce,Henri Coanda,0,Issy-les-Moulineaux
0,Lohner Type Bussard,se desconoce,Private,0,unk.
1920-01-15 00:00:00.000,Avro 504K,G-EADL,Cosmos Engineering Company,0,"Kingswood, Gloucestershire"
1920-02-11 00:00:00.000,Vickers Vimy,G-UABA,South African Air Force,0,"Korosko, 80 miles North of Wadi Halfa"
1920-02-12 00:00:00.000,Spijker V.2,80,LVA,0,"Schiphol Airport, Noord-Holland"
1920-02-17 00:00:00.000,Bristol F.2b,se desconoce,Handley Page Transport,0,"Waddon, Surrey"
1920-02-23 00:00:00.000,Handley Page O/7,G-EANV,Handley Page Transport,0,"Acadia Siding, Cape Province"
1920-02-25 00:00:00.000,Handley Page O/400,G-EAMC,Handley Page Transport,0,10 km N of El Shereik
1920-02-27 00:00:00.000,Vickers Vimy Commercial,G-EAAV,Vickers (Aviation) Ltd.,0,Tabora
1920-03-02 00:00:00.000,Spijker V.2,39,LVA,0,"Soesterberg AFB, Utrecht"
1920-03-02 00:00:00.000,Spijker V.2,75,LVA,0,"Soesterberg AFB, Utrecht"
1920-03-06 00:00:00.000,Vickers FB.27 Vimy Commerical,F8615,SAAF (South African Air Force),0,"Bulawayo, Matabeleland"
1920-03-18 00:00:00.000,de Havilland DH-4B,105,US Air Mail Services,0,"Orangeville, OH"
1920-03-18 00:00:00.000,Airco DH.16,G-EACT,Aircraft Transport & Travel Ltd.,0,"English Channel, off Beachy Head, near Eastbourne, East Sussex"
1920-03-20 00:00:00.000,Breguet 14,3564,Hellenic Army Air Force,0,Bazartzik
1920-03-20 00:00:00.000,Breguet 14,3600,Hellenic Army Air Force,0,Boz Eyiouk
1920-03-24 00:00:00.000,Junkers F13/Larsen JL-6,se desconoce,Junkers-Larsen,0,"Roosevelt Field, Mineola, NY"
1920-03-26 00:00:00.000,Breguet 14,se desconoce,Hellenic Army Air Force,0,NW of village Kalambasi
1920-03-31 00:00:00.000,Avro 504K,G-EAHW,Handley Page Ltd.(regd owners),0,"Southwark Park, Rotherhithe, London"
0,Sopwith Dove,G-EAKT,Sopwith Aviation Company,0,se desconoce
1920-04-10 00:00:00.000,Curtiss R-4,49,US Air Mail Services,0,"Camden, NJ"
1920-04-15 00:00:00.000,Avro 504K,G-EADS,Vickers Ltd,0,"Brooklands, Weybridge, Surrey"
1920-04-16 00:00:00.000,Avro 504K,G-EAMI,W. G. Pudney,0,"Banbury, Oxfordshire"
1920-04-22 00:00:00.000,de Havilland DH-4B,98,US Air Mail Services,0,"Gorton Station, PA"
1920-04-24 00:00:00.000,Dornier Gs.1,se desconoce,se desconoce,0,Kiel-Holtenau
1920-04-27 00:00:00.000,Curtiss R-4,46,US Air Mail Services,0,"Llewellyn Park, West Orange, NJ"
1920-04-30 00:00:00.000,Avro 504K,G-EACV,Vickers Ltd,0,"Joyce Green, near Dartford, Kent"
1920-05-04 00:00:00.000,de Havilland DH-4B,95,US Air Mail Services,0,"Burton, OH"
1920-06-10 00:00:00.000,de Havilland DH.16,G-EARU,Aircraft Transport & Travel,0,"Swanley Junction, Swanley, Kent"
1920-01-15 00:00:00.000,Avro 504K,se desconoce,Cosmos Engineering Company,0,"Kingswood, Gloucestershire"
1920-02-11 00:00:00.000,Vickers Vimy,se desconoce,South African Air Force,0,"Korosko, 80 miles North of Wadi Halfa"
1920-02-12 00:00:00.000,Spijker V.2,se desconoce,LVA,0,"Schiphol Airport, Noord-Holland"
1920-02-17 00:00:00.000,Bristol F.2b,se desconoce,Handley Page Transport,0,"Waddon, Surrey"
1920-02-27 00:00:00.000,Vickers Vimy Commercial,se desconoce,Vickers (Aviation) Ltd.,0,Tabora
1920-03-02 00:00:00.000,Spijker V.2,se desconoce,LVA,0,"Soesterberg AFB, Utrecht"
1920-03-02 00:00:00.000,Spijker V.2,se desconoce,LVA,0,"Soesterberg AFB, Utrecht"
1920-03-06 00:00:00.000,Vickers FB.27 Vimy Commerical,se desconoce,SAAF (South African Air Force),0,"Bulawayo, Matabeleland"
1920-03-18 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,0,"Orangeville, OH"
1920-03-18 00:00:00.000,Airco DH.16,se desconoce,Aircraft Transport & Travel Ltd.,0,"English Channel, off Beachy Head, near Eastbourne, East Sussex"
1920-03-20 00:00:00.000,Breguet 14,se desconoce,Hellenic Army Air Force,0,Bazartzik
1920-03-20 00:00:00.000,Breguet 14,se desconoce,Hellenic Army Air Force,0,Boz Eyiouk
1920-03-24 00:00:00.000,Junkers F13/Larsen JL-6,se desconoce,Junkers-Larsen,0,"Roosevelt Field, Mineola, NY"
1920-03-26 00:00:00.000,Breguet 14,se desconoce,Hellenic Army Air Force,0,NW of village Kalambasi
1920-03-31 00:00:00.000,Avro 504K,se desconoce,Handley Page Ltd.(regd owners),0,"Southwark Park, Rotherhithe, London"
0,Sopwith Dove,se desconoce,Sopwith Aviation Company,0,se desconoce
1920-04-10 00:00:00.000,Curtiss R-4,se desconoce,US Air Mail Services,0,"Camden, NJ"
1920-04-15 00:00:00.000,Avro 504K,se desconoce,Vickers Ltd,0,"Brooklands, Weybridge, Surrey"
1920-04-16 00:00:00.000,Avro 504K,se desconoce,W. G. Pudney,0,"Banbury, Oxfordshire"
1920-04-22 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,0,"Gorton Station, PA"
1920-04-24 00:00:00.000,Dornier Gs.1,se desconoce,se desconoce,0,Kiel-Holtenau
1920-04-27 00:00:00.000,Curtiss R-4,se desconoce,US Air Mail Services,0,"Llewellyn Park, West Orange, NJ"
1920-04-30 00:00:00.000,Avro 504K,se desconoce,Vickers Ltd,0,"Joyce Green, near Dartford, Kent"
1920-05-04 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,0,"Burton, OH"
1920-06-10 00:00:00.000,de Havilland DH.16,se desconoce,Aircraft Transport & Travel,0,"Swanley Junction, Swanley, Kent"
1930-01-06 00:00:00.000,Stearman C3B,NC8820,Western Air Express,0,"Dupont, Denver, CO"
