País/Océano,Víctimas
Afganistán,104.0
Alemania Oriental,156.0
Angola,271.0
Antártida,257.0
Arabia Saudita,718.0
Argelia,359.0
Baréin,143.0
Benín,141.0
Birmania,122.0
Brasil,490.0
Camerún,225.0
Canadá,712.0
China,1001.0
Chipre,126.0
Colombia,543.0
Comoras,277.0
Corea del Sur,129.0
Costa de Marfil,169.0
Cuba,283.0
Ecuador,119.0
Egipto,480.0
Emiratos Árabes Unidos,224.0
España,1583.0
Estados Unidos,5292.0
Etiopía,157.0
Filipinas,235.0
Francia,1272.0
Georgia,108.0
Grecia,121.0
Guam,228.0
Honduras,131.0
India,844.0
Indonesia,1322.0
Irán,1105.0
Italia,341.0
Japón,1332.0
Libia,262.0
Macedonia,115.0
Malasia,100.0
Malí,118.0
Marruecos,294.0
México,167.0
Nepal,280.0
Nigeria,1015.0
Noruega,141.0
Níger,170.0
Océano Atlántico,963.0
Océano Pacífico,702.0
Océano Índico,803.0
Pakistán,279.0
Perú,224.0
Polonia,183.0
Portugal,275.0
Reino Unido,388.0
República Dominicana,102.0
República Árabe Unida,221.0
Rusia,509.0
Siria,126.0
Sri Lanka,374.0
Sudán,116.0
Suiza,108.0
Surinam,176.0
Tailandia,324.0
Taiwán,313.0
Turquía,258.0
Ucrania,468.0
Unión Soviética,2159.0
Venezuela,315.0
Vietnam del Sur,421.0
Yugoslavia,176.0
Zaire,253.0
África del Sudoeste,123.0
